"M1"	"M2"	"M3"	"M4"	"M5"
"gene1"	-2.58431545841166	-2.5029393636326	0.77682912364452	0.164237748778494	-0.229943230588483
"gene2"	-2.30568501840953	2.13694504649819	-1.97788996119112	5.62699091340749	0.653363132071497
"gene3"	0.175251206887813	0.159798290107491	2.3315749428942	2.28853779400705	-8.72308429235652
"gene4"	-2.56740062116975	-0.566024598377967	-0.534891879211898	-1.80122569205203	0.826730110523729
"gene5"	7.54338537819875	-1.78344169341747	-1.73370899127177	-1.99982544788303	-0.61751698973604
"gene6"	1.59130314771168	-3.34086239516911	-3.86966591414664	2.54429573013731	1.52593874939861
"gene7"	-2.28966187272069	-7.22334869660205	-4.48457859796723	-1.4234280227012	0.438006141566791
"gene8"	-2.78409130662659	-2.21420288041866	0.424985660296226	0.813286731600594	-5.57598373717948
"gene9"	-0.554893346534189	2.9937440211093	0.735565612120389	-1.19129177285832	2.20968791632882
"gene10"	-2.85198293894882	1.98679065221118	3.74579976552613	-0.750484843565112	3.3204101734122
"gene11"	-1.6425280212395	7.96411506182837	-5.22813623486483	0.0972889653505798	-0.69672830025755
"gene12"	1.15743274206008	-1.23441933496618	1.65619214348085	2.53146886964746	6.55429489361598
"gene13"	3.86049620818695	-3.36316597857387	-2.63528068876657	1.37210534850972	1.88122293508321
"gene14"	-4.82289680236272	1.51559512041103	-1.54817967592237	1.43001150253431	2.72736824500167
"gene15"	-0.865576192389828	1.78848637606776	-0.34974850378624	1.43065859539011	-0.355450316467024
"gene16"	-0.723722455366896	-0.770854106891767	1.82274744193402	6.41856094603825	-3.94539785574711
"gene17"	-0.118447973598834	-2.04062921059929	-1.49399137094389	-1.21729044259421	3.5141379888497
"gene18"	-0.774643877478024	-0.930891311738889	4.19010256980695	-0.180260340267608	1.49055493149223
"gene19"	0.439426522725419	0.671378614105612	-3.54825800979378	0.806096606489515	-0.0786830509192958
"gene20"	-3.99313635110827	-0.885675194429823	0.390963125638064	-4.86635855088675	1.40711557272053
"gene21"	0.93817498468948	-1.55834939263002	-0.263863111579512	2.82229318213921	-2.28936380147149
"gene22"	-3.42318515324951	0.245910643473564	5.94316810883555	-1.20982203079337	-1.93040079364168
"gene23"	4.91201631585614	-2.02029389555746	2.91837599385309	2.08586507662033	-3.28738847425245
"gene24"	-3.31793995018759	2.4113825464398	-1.76709049521262	-0.0330173913594515	-1.77090732972284
"gene25"	-2.9223739144661	2.5747642363782	-0.567250988372893	-1.21152568709738	1.30219692149132
"gene26"	-0.0392793523360435	2.02605867107852	1.94416537941923	-0.881210205384173	-0.0557534040686848
"gene27"	-2.6168405000031	0.396846810268919	-4.13527298940167	3.25603444814776	0.705531577595501
"gene28"	0.0749305980836676	0.800448683762868	2.48482110126349	-0.308150302734037	1.21169784066394
"gene29"	0.462590867522669	-1.0496921412227	-3.01099845339616	0.967514050726562	0.162531112283632
"gene30"	1.97937640590426	-0.398165872222487	4.49525408751948	-0.806494282210598	0.438658476352522
"gene31"	-1.70096576175429	-2.57584377621943	-0.519181015784387	2.85481757445224	-0.443982959242163
"gene32"	1.43506545515858	-1.48220363580215	0.703876945450919	4.04523553339952	1.97545859440597
