"M1"	"M2"	"M3"	"M4"	"M5"
"gene1"	-0.535018091385482	-2.27963918531167	-0.742274959666104	0.49661061135892	-0.971385532726674
"gene2"	-1.98388929284668	4.90302978448544	-0.491644003420252	1.76907964893849	-0.847253354010282
"gene3"	2.9084940226931	0.863110413360999	-0.814772789015661	1.24369675744691	-0.0455840437207769
"gene4"	-1.29727552472003	-2.26127818356287	1.07048026083465	-1.02674964099624	7.74359812649323
"gene5"	-2.67404111920315	2.03440239512757	-0.972335873048296	0.140410444039209	3.5148421754819
"gene6"	4.03297556971326	8.31641184951823	-0.728226323378386	-0.29133206391063	-1.41223605018831
"gene7"	-2.59735505155208	-0.920609129676004	-1.25846186768612	1.74196698662432	-2.51953904412959
"gene8"	2.90640249021751	1.71731113230054	-1.85838321398359	-2.42408078435646	3.15610878307551
"gene9"	-4.68519748583496	0.405801761973199	0.15651952048906	4.20409798762521	-5.92474346579337
"gene10"	-4.42320868216037	2.11287150284966	1.23764585393868	-0.355365255296617	5.14779217503726
"gene11"	1.5073318562112	0.551204603017847	2.53366872684834	3.64451872420311	2.66435321314628
"gene12"	0.168549679629557	3.43859001997747	-4.25634041781818	2.76740810644616	3.95588300747446
"gene13"	1.90472650763178	4.34773025326613	0.982715659397714	4.02354001653836	1.92960260859224
"gene14"	-4.6950893995527	-0.291734346733034	-0.550092553276566	-1.33527506396584	1.43435055468755
"gene15"	-2.61788590473578	-2.88567335523679	1.04240720890776	-2.36217500727337	-4.99489304492687
"gene16"	3.7769878941775	4.31481333923815	1.14282007138417	0.475778414653942	-3.65945393320689
"gene17"	-3.31945255874548	-0.433030019871971	-2.51268880684785	1.90441827614203	-1.94907989107242
"gene18"	-5.98537452817594	-1.65076436390093	-1.58064021530994	-1.04146778666663	-0.774727131645327
"gene19"	0.987024874228875	0.205222555320957	-0.142529294195683	-2.78162258281483	1.40778618331874
"gene20"	2.21233925951586	3.80285251784843	0.35945118986915	-1.56276278689453	-0.794903282224926
"gene21"	-2.94179705365004	-0.510761279760409	4.71754636900358	-2.52330284866341	1.47178615948877
"gene22"	-1.25764644412556	3.71515432342375	0.599823141499747	-3.02512404470469	1.3430125418417
"gene23"	-3.61094981551495	0.732229738487283	-0.0524674743891991	1.24752508765588	-4.39619931636514
"gene24"	1.06763362896832	0.154935505906617	0.986287990986164	-1.21124127917587	-6.06289909031775
"gene25"	-1.89546336672312	2.1227834393497	-2.33803736372568	-1.30198674790235	4.89515073254049
"gene26"	0.702056971655167	1.79997762670017	-2.98885225058876	2.49930925484972	1.64774924604477
"gene27"	1.87835788196171	-0.949694073721287	-0.400301582507326	3.12132064419042	-2.61130114089906
"gene28"	-0.336037545470906	3.37329721326476	3.23527206997995	-2.32304469300688	1.22497171816632
"gene29"	2.32434298384669	0.63593158045342	1.40939865021605	3.19676200193533	2.96822377344903
"gene30"	-1.821833299796	-1.55322034074536	-1.57391332516567	1.70509593994887	0.47312106842866
"gene31"	1.44329373296557	-1.01295606637735	6.480599005867	-0.607374340132773	2.70590630090582
"gene32"	-0.456903525490167	1.42583244297371	-0.688605133702398	0.236833979187803	-3.24579463513693
"gene33"	1.44186396658365	0.625227985736355	2.31875486857392	-1.30083056587718	0.511673700309825
"gene34"	-1.54187401187	0.637938591981132	-0.790392272260229	-0.0124947976443044	1.9912278423351
"gene35"	-0.987114567076853	-1.60103440492009	-1.48564066282755	1.10297484276335	-1.84414530842567
"gene36"	1.98505491536398	0.544854740868069	2.35521045059893	-2.0486322636323	-0.652343635624437
"gene37"	-2.78440498482906	0.362826101096189	1.95560158202678	-0.913362084393271	0.93038365084793
"gene38"	-3.60253132556609	-0.85739250348148	0.898466797422095	-1.76046724565726	-0.24839457254386
"gene39"	-6.76612391794309	-2.49078933881735	-1.30388657151815	-2.03384639252003	-2.95458839328029
"gene40"	-1.13713279948205	-0.842376440551608	3.90104886709204	4.0944790242184	-2.04645020001393
"gene41"	-0.998150271928101	1.06681396644376	-4.85112508573266	-4.00198449242819	-0.936801239080383
"gene42"	1.16729716250224	-2.14425301033002	-0.217998252477925	2.08576136620814	3.01645347101841
"gene43"	-0.502815536049244	-2.39966718210185	3.67892039578001	0.297534283430116	3.49223134810188
"gene44"	-1.2141046181386	-0.448563837889083	0.960853693831373	-0.241509348318217	-0.0209109226401102
"gene45"	-1.66608347799964	1.22897418281214	1.12160239308068	-2.71585385908503	-0.912373794589078
"gene46"	-2.14869273312128	3.2558056764246	-1.85057239575668	-0.991936128912391	2.20193294327969
"gene47"	-0.638795639062164	3.19616945356721	1.32060633748214	2.9260836102545	-1.40719438072419
"gene48"	1.15189765736729	1.73798774603027	-1.42678802933155	1.54834820229316	2.66215659586976
"gene49"	-1.2537393069509	1.79777895913413	0.203154684036419	2.75710127209897	0.629023762884013
"gene50"	-2.59579079832125	-0.958263846208912	-3.37428295063264	-1.64736017535974	4.10344636741278
"gene51"	2.20922866422891	-4.09607432597357	0.415286622613587	1.89227120964098	-1.26137692903354
"gene52"	-0.97417166921191	-0.336590823861182	-0.832669230603149	-1.1099126633004	-1.78010242714669
"gene53"	-3.42050923489391	0.377952764242417	5.49371022136141	3.61733044601495	-1.32708030011039
"gene54"	3.23779973347491	4.28462068452597	4.74512219469038	-1.33444368386307	0.785833952512277
"gene55"	-0.816728474216445	-2.70753657082726	-2.75669777153297	1.30464364236276	-3.40977175863629
"gene56"	-1.76584178083604	-1.78944920426469	3.18542891906638	4.01812483389921	-4.20353186405719
"gene57"	-1.32012549419579	1.81065655670181	-2.04383829390097	-1.76092680736867	-1.14693520958761
"gene58"	-3.32294724907912	-2.68834598439916	2.2697144021828	-3.7925583751727	2.26866845728071
"gene59"	-1.71865216155329	-2.44380843488296	-1.65576449674665	-3.84292537948156	3.18960846078722
"gene60"	-1.77374126353331	2.01182075445169	-2.21391875105266	-2.94879001154603	0.98805010682736
"gene61"	-1.71589900023359	1.10238537821453	-0.337197523475702	-1.76477040309575	3.92434903402543
"gene62"	-1.71891166786101	-3.89464750327119	3.0632796105026	1.4321912064393	-0.435232104372648
"gene63"	-2.04899573194125	-3.04904987706637	1.50872296551293	-1.04411634690404	-0.264770967236635
"gene64"	-3.31132533901416	1.41188560054211	0.508988425810633	-1.44375397567803	-0.725724093775991
"gene65"	2.15796680318483	-0.891817132406668	0.866376453574038	-1.4489051028503	5.05310556816789
"gene66"	-4.1437391352076	0.441356000417596	5.63399066102502	2.60856230001767	-1.11411188121422
"gene67"	-0.748521616886838	-1.40622251260999	1.36302513436719	0.595536946231685	-1.17021335617605
"gene68"	0.271569861969359	1.32434043875843	-4.25148127450037	2.3501287016845	-4.95331875929523
"gene69"	1.52257163612481	-1.22438280462292	-0.478737517493085	-2.00455717668927	-0.999957636650393
"gene70"	0.307115309588671	2.36392427396173	1.18308981562648	-0.667404787138863	-0.529762872844866
"gene71"	2.27124082506012	-3.21715711548509	-1.55551332483681	-0.264687395639976	-3.29451008547358
"gene72"	-1.03680955349011	-1.09099143549324	-3.47888324923043	-1.81003318668884	-4.44948473801648
"gene73"	0.435879683586458	2.77423549005392	3.69794812133079	4.19106879453728	4.80548638776814
"gene74"	-0.0761383227755652	5.06430819458205	-1.48698957502853	-3.66585094962039	2.41106406946427
"gene75"	-1.95232814461232	1.43555864234164	-2.43666186607103	0.870443885680809	-1.69824924793965
"gene76"	0.0746516001601361	1.49694203132033	-1.97013824594559	-0.772275803306599	-2.97845351457762
"gene77"	1.87826659398471	0.867350980098889	-1.35722518119796	3.37033873778882	-1.11112407654475
"gene78"	0.0603161980694623	0.38860541861889	0.471819759101372	-1.15329151300296	5.87134241685044
"gene79"	0.857585762270104	0.739214855185503	0.447083875089377	0.496739315980339	-0.528133188977414
"gene80"	-0.696697367444719	-0.405545256934356	1.25140741528588	-1.35995070694113	-3.79234138739902
"gene81"	-2.1077803625167	-3.62311667917185	-0.661191335866136	3.72177307092715	2.64132407310763
"gene82"	1.29025315497674	-0.302526476210688	-1.46388360589864	5.63639178843281	6.06224267035837
"gene83"	2.68546181478298	-0.779752886830053	-0.736691810293552	-1.46967308503364	3.0673228143179
"gene84"	-3.57532396294523	-2.76858958193287	-2.08025278530998	0.0215423170852351	-2.6860136059957
"gene85"	1.6718083312061	4.4488770747366	1.96778225985545	0.576155100518333	6.48535994841268
"gene86"	1.83245702087909	0.824467927626229	0.393441494699016	1.99077430000559	-1.04735722718346
"gene87"	-1.20942351625486	1.63528139085292	0.345672863276283	1.32835347212208	1.3075221171739
"gene88"	4.41662173339004	-4.13869264360313	0.0291115717467047	-2.35957568589116	3.48540301157101
"gene89"	2.85384669653786	1.87908816872101	2.80123259933568	2.1556387262333	1.94639542512914
"gene90"	4.4660544705386	0.484073173618625	3.38500360016285	0.875661598902058	-3.2909971097511
"gene91"	-0.529372177930518	2.50440576269374	-0.42334144071154	-2.33090430321881	1.93020708310498
"gene92"	3.51397397356331	0.771637334222962	5.90090792975602	3.22915399085159	-1.40832557708301
"gene93"	0.546420992037845	-1.0603827933945	0.866104922802252	-1.26882012080594	1.58451441762805
"gene94"	1.69847482696012	0.21812233029207	-1.20913851212648	4.67141217699206	0.0263406105957415
"gene95"	1.56102829929604	1.27043468378214	2.32188278906239	1.15567263183029	0.454735848697069
"gene96"	-1.14972445619006	0.130181659780484	2.5719142237521	3.19045806995731	-0.357599856363281
"gene97"	1.19179459600807	1.66280306804973	0.323250838931655	-2.21012260749554	-0.487837437018228
"gene98"	1.16816132783634	0.833524221043941	1.37695935954567	0.818843180088704	1.90264687498703
"gene99"	2.68934956663881	2.36315347482821	1.68559070468995	2.86260547559381	-4.26280855719632
"gene100"	-1.86866009279114	0.163248075561893	-1.92978253992009	-0.864165142040743	-1.91484723110012
"gene101"	-2.47112732139783	1.9719821316377	-0.316970374813856	0.944100960401014	2.52675917723634
"gene102"	0.33371893771038	5.09076032789653	1.76717289828086	-3.30710754827499	-2.37315164176887
"gene103"	-1.98564721050544	-6.67108854967415	-1.56919241730975	0.396110461877291	-2.78844952612823
"gene104"	0.699575717688672	-0.992218472300903	2.84927516668151	0.732717477210716	-0.738715998243494
"gene105"	-2.96648922623542	-1.5759526404483	4.88170729340432	-1.75532373926752	-0.530767734084191
"gene106"	0.124685286559973	1.52504426393676	1.55563533740622	0.232926339958124	1.27193843679177
"gene107"	-1.5757690114606	0.180624756725292	1.42781914498551	-0.425523099460729	1.28282688306845
