"PIG.1"	"PIG.2"	"PIG.3"	"PIG.4"	"DOG.1"	"DOG.2"	"DOG.3"	"DOG.4"	"COW.1"	"COW.2"	"COW.3"	"COW.4"	"COW.5"
"Gene.1"	-3.16301824525769	-2.72376907229043	-3.33747192197792	-2.89282027047829	-3.8446153913432	-3.41301685621865	-3.69060507218702	-4.05636715737711	2.45851414475636	1.88837031768637	2.26322404943682	1.60257778229247	2.71387777234152
"Gene.2"	-3.73340984708173	-3.11834168930145	-3.09666898249875	-3.42487737016693	-3.97076725107525	-4.40883517793798	-5.02515390781982	-4.08187783297071	3.35426105207819	2.86600972690919	2.26803912006449	3.37221791143766	2.2948049094974
"Gene.3"	-3.76646619699238	-4.05966005384712	-3.76638051911724	-3.75093221778204	-3.5525313997298	-3.86042400179313	-3.49606712484288	-5.03655324528689	3.59492669189142	2.63781289081501	3.08399188617444	3.46016757929042	2.16419759398854
"Gene.4"	-0.351838256815082	-0.12686169410736	0.402648914268222	-0.732076024549369	-0.29163188479646	0.331571924386669	0.206048164497353	-0.483211463328034	-0.642133243263125	0.245542634845664	-0.842808181062654	0.625258119699941	-0.422139267720084
"Gene.5"	0.0636240599945168	0.615388005255578	-0.192872419535241	-0.174067314033679	0.66478606022214	-0.0267850336951425	-0.269617799760538	-0.754535231412842	-0.136164268794608	-0.12839199549427	-0.130281613862726	0.0149267630588798	0.251797775019861
"Gene.6"	-0.16747068057993	-0.494336849425662	0.213928154747645	-0.253822102341932	-0.363220802756436	0.24037151964791	-0.367588911330912	-0.223251877410595	-0.0210573897096679	0.338393258135773	-0.431989631286875	0.374233455934528	-0.937838112604068
"Gene.7"	-0.349345056358512	-0.117415566476969	0.295848070851481	-0.0699829151704884	0.0207211151030889	0.803408981168414	0.158967754194974	0.246671719165741	0.125794263478007	-0.14336014876688	0.0077446251420992	0.326832574348635	0.501325139457607
"Gene.8"	0.00633624007440532	0.143294178381767	-0.27837434903795	-0.8507358502819	0.295532484192484	-0.683786845448364	0.0344009734892811	0.149644163864304	-0.0325446861647486	-0.615586767401215	-0.792182278959928	0.93896928900375	-0.0234010736556336
"Gene.9"	0.294494648093924	0.343082525790318	-0.0797148929745342	0.0943751360097929	-0.916197530827451	-0.291046028325452	0.134797799248316	-0.353650709690005	-0.00457117816473606	-0.193453485723931	-0.389371579594184	0.649539436667761	0.412303998727216
"Gene.10"	-0.884042714801015	0.401631354391297	-0.0611097563108835	-0.258936718253624	0.309987010847525	0.085231039753202	0.450840543882747	0.880765485880208	-0.0576639638620501	-0.280432097085491	0.216423080701052	0.293867133246429	-0.934610174411156
"Gene.11"	0.155148653215091	-0.969708882691146	0.649998571325512	0.695614315249974	-0.682293597241785	0.0652061030684096	0.277494496086221	-0.731546000588668	-0.253379158893782	0.269585130995157	-0.159705848914499	-0.537847255646117	0.100845705146067
"Gene.12"	0.0629397295843648	0.0257996679020472	0.52622762216512	-0.292593398197773	0.333037396037767	-0.0144701006919212	-1.00654734215617	0.355067948077279	0.41346827023814	-0.409816289042125	0.422096273712768	-0.536198005156379	0.853514355511191
"Gene.13"	-1.15681396443388	-1.0646631294516	0.103498484468156	0.0618238121112858	0.241158985221543	-0.135405363005508	0.304393473904782	-0.294786588066641	0.010345631441725	-0.506494782473038	-0.615844748371892	0.135832193795679	0.06971932513872
"Gene.14"	-0.218464057424884	-1.55265313909655	0.560783492616485	-0.475333471991617	-0.0564871296036976	0.122967463424762	0.695981587888022	-0.736053516523745	-1.07101708309248	-0.496601497322561	-0.125795554579754	-0.575244677030669	-0.252386757564354
