Course ID;Student ID;Grade
INTRO_JAVA;14154;7.480346167
INTRO_JAVA;10767;9.384964365
INTRO_JAVA;8062;5.635147227
INTRO_JAVA;1921;6.282473118
INTRO_JAVA;16358;5.338437627
INTRO_JAVA;13038;7.430212271
INTRO_JAVA;1846;8.364090911
INTRO_JAVA;14117;4.370384218
INTRO_JAVA;7330;8.27693365
INTRO_JAVA;12431;4.075417445
INTRO_JAVA;3009;4.718559939
INTRO_JAVA;11307;5.675889829
INTRO_JAVA;19085;5.930914505
INTRO_JAVA;19205;7.038839406
INTRO_JAVA;15335;5.130934811
INTRO_JAVA;5385;5.896408514
INTRO_JAVA;4216;6.581113314
WIS1;14154;6.44801652
WIS1;10767;5.729584253
WIS1;8062;8.986842615
WIS1;1921;7.286922235
WIS1;16358;6.829401141
WIS1;13038;6.500693744
WIS1;1846;5.697041145
WIS1;14117;5.851269644
WIS1;7330;3.815038264
WIS1;12431;4.845170962
WIS1;3009;4.976768683
WIS1;11307;7.627742847
WIS1;19085;6.190065186
WIS1;19205;8.498482407
WIS1;15335;7.591321778
WIS1;5385;7.853693273
WIS2;4216;8.909742723
APP_DESIGN;14154;2.950940702
APP_DESIGN;10767;9.331852362
APP_DESIGN;8062;6.789091362
APP_DESIGN;1921;4.43800991
APP_DESIGN;16358;5.002511803
APP_DESIGN;13038;5.422729619
APP_DESIGN;1846;4.527570952
APP_DESIGN;14117;3.316937176
APP_DESIGN;7330;4.563326439
APP_DESIGN;12431;7.970253717
APP_DESIGN;3009;3.341209357
APP_DESIGN;11307;9.497751907
APP_DESIGN;19085;9.537020454
APP_DESIGN;19205;5.649364554
APP_DESIGN;15335;6.431799567
APP_DESIGN;5385;5.652499698
